YEAR,MO,DY,HR,UV,Tem,Hum
2021,12,8,16,0.23,29.04,17.52
2021,12,8,17,0,27.35,18.31
2021,12,8,18,0,26.37,17.94
2021,12,8,19,0,25.87,17.88
2021,12,8,20,0,25.37,17.82
2021,12,8,21,0,25.01,17.64
2021,12,8,22,0,24.75,17.4
2021,12,8,23,0,24.39,17.33
2021,12,9,0,0,23.94,17.33
2021,12,9,1,0,23.64,17.09
2021,12,9,2,0,23.31,16.78
2021,12,9,3,0,23.3,16.54
2021,12,9,4,0,23.2,16.36
2021,12,9,5,0,23.01,16.36
2021,12,9,6,0.05,23.08,16.72
2021,12,9,7,0.6,24.06,16.91
2021,12,9,8,2.38,25.32,16.85
2021,12,9,9,4.23,26.52,16.78
2021,12,9,10,4.92,27.33,16.97
2021,12,9,11,5.77,27.76,17.21
2021,12,9,12,5.42,28.01,17.33
2021,12,9,13,3.95,28.21,17.46
2021,12,9,14,2.42,28.22,17.64
2021,12,9,15,0.88,27.97,17.94
2021,12,9,16,0.12,27.24,18.43
2021,12,9,17,0,25.74,18.68
2021,12,9,18,0,24.95,18.31
2021,12,9,19,0,24.55,18.07
2021,12,9,20,0,24.1,17.76
2021,12,9,21,0,23.66,17.4
2021,12,9,22,0,23.15,16.97
2021,12,9,23,0,22.58,16.42
2021,12,10,0,0,22.02,15.81
2021,12,10,1,0,21.49,15.32
2021,12,10,2,0,20.98,14.77
2021,12,10,3,0,20.48,14.34
2021,12,10,4,0,20.03,13.98
2021,12,10,5,0,19.63,13.67
2021,12,10,6,0.05,20.01,13.79
2021,12,10,7,0.8,21.62,14.28
2021,12,10,8,2.83,23.87,14.71
2021,12,10,9,5.65,25.78,15.2
2021,12,10,10,8.33,27.23,15.69
2021,12,10,11,9.6,28.28,16.11
2021,12,10,12,8.9,28.97,16.36
2021,12,10,13,7.15,29.31,16.48
2021,12,10,14,4.3,29.27,16.48
2021,12,10,15,1.75,28.9,16.48
2021,12,10,16,0.3,28.36,16.85
2021,12,10,17,0,26.64,16.72
2021,12,10,18,0,25.71,15.81
2021,12,10,19,0,25.06,15.62
2021,12,10,20,0,24.22,15.5
2021,12,10,21,0,23.28,15.44
2021,12,10,22,0,22.4,15.26
2021,12,10,23,0,21.78,14.95
2021,12,11,0,0,21.12,14.53
2021,12,11,1,0,20.46,14.1
2021,12,11,2,0,19.86,13.73
2021,12,11,3,0,19.34,13.31
2021,12,11,4,0,18.92,13
2021,12,11,5,0,18.61,12.82
2021,12,11,6,0.02,19.11,13.06
2021,12,11,7,0.55,20.97,13.49
2021,12,11,8,1.95,23.71,14.04
2021,12,11,9,4.23,26.27,14.53
2021,12,11,10,6.95,27.52,15.2
2021,12,11,11,8.05,28.28,15.81
2021,12,11,12,8.05,28.79,16.17
2021,12,11,13,6.65,29,16.36
2021,12,11,14,4.15,28.9,16.36
2021,12,11,15,1.73,28.5,16.36
2021,12,11,16,0.3,27.84,16.85
2021,12,11,17,0.02,26.02,17.15
2021,12,11,18,0,24.96,16.54
2021,12,11,19,0,24.44,16.24
2021,12,11,20,0,23.87,16.11
2021,12,11,21,0,23.34,16.05
2021,12,11,22,0,23.05,16.05
2021,12,11,23,0,22.8,15.87
2021,12,12,0,0,22.52,15.62
2021,12,12,1,0,22.22,15.38
2021,12,12,2,0,21.96,15.2
2021,12,12,3,0,21.75,15.08
2021,12,12,4,0,21.76,14.89
2021,12,12,5,0,21.93,14.71
2021,12,12,6,0.05,22.51,15.08
2021,12,12,7,0.7,24.4,15.44
2021,12,12,8,2.58,26.58,15.32
2021,12,12,9,5.17,27.81,15.75
2021,12,12,10,7.58,28.89,16.36
2021,12,12,11,8.23,29.67,16.91
2021,12,12,12,7.95,30.18,17.4
2021,12,12,13,6.62,30.4,17.64
2021,12,12,14,3.83,30.28,17.7
2021,12,12,15,1.58,29.8,17.82
2021,12,12,16,0.25,29.27,18.31
2021,12,12,17,0.02,27.7,18.98
2021,12,12,18,0,26.67,18.68
2021,12,12,19,0,26.1,18.55
2021,12,12,20,0,25.64,18.43
2021,12,12,21,0,25.3,18.07
2021,12,12,22,0,24.97,17.76
2021,12,12,23,0,24.6,17.46
2021,12,13,0,0,24.2,17.15
2021,12,13,1,0,23.44,16.85
2021,12,13,2,0,22.7,16.48
2021,12,13,3,0,22.16,16.05
2021,12,13,4,0,21.69,15.69
2021,12,13,5,0,21.25,15.26
2021,12,13,6,0.05,21.52,15.14
2021,12,13,7,0.75,23.16,15.38
2021,12,13,8,2.7,25.48,15.69
2021,12,13,9,5.58,27.04,16.11
2021,12,13,10,8.2,28.2,16.6
2021,12,13,11,8.38,29.11,17.03
2021,12,13,12,8.23,29.66,17.21
2021,12,13,13,6.85,29.73,17.27
2021,12,13,14,3.92,29.51,17.21
2021,12,13,15,1.48,29.37,17.7
2021,12,13,16,0.25,28.72,17.4
2021,12,13,17,0,27.28,18.07
2021,12,13,18,0,26.43,17.58
2021,12,13,19,0,25.66,17.64
2021,12,13,20,0,24.88,17.52
2021,12,13,21,0,24.19,17.21
2021,12,13,22,0,23.64,16.91
2021,12,13,23,0,23.1,16.54
2021,12,14,0,0,22.57,16.17
2021,12,14,1,0,22.02,15.75
2021,12,14,2,0,21.54,15.38
2021,12,14,3,0,21.17,15.08
2021,12,14,4,0,21.01,14.95
2021,12,14,5,0,20.87,14.83
2021,12,14,6,0.05,21.31,14.95
2021,12,14,7,0.7,22.88,15.14
2021,12,14,8,2.55,25.3,15.62
2021,12,14,9,5.27,27.01,16.24
2021,12,14,10,7.7,28.22,16.78
2021,12,14,11,7.85,29.1,17.27
2021,12,14,12,7.55,29.75,17.76
2021,12,14,13,6.38,30.13,18.01
2021,12,14,14,3.67,30.19,18.07
2021,12,14,15,1.48,29.91,18.13
2021,12,14,16,0.25,29.55,18.62
2021,12,14,17,0.02,28.19,19.1
2021,12,14,18,0,27.2,18.68
2021,12,14,19,0,26.58,18.55
2021,12,14,20,0,26.07,18.31
2021,12,14,21,0,25.39,18.19
2021,12,14,22,0,24.69,18.07
2021,12,14,23,0,24.22,17.76
2021,12,15,0,0,23.76,17.46
2021,12,15,1,0,23.3,17.09
2021,12,15,2,0,22.91,16.78
2021,12,15,3,0,22.62,16.48
2021,12,15,4,0,22.37,16.24
2021,12,15,5,0,22.21,15.99
2021,12,15,6,0.02,22.55,16.05
2021,12,15,7,0.65,24.03,16.11
2021,12,15,8,2.3,26.38,16.42
2021,12,15,9,5.38,28.19,16.91
2021,12,15,10,7.83,29.5,17.46
2021,12,15,11,7.88,30.47,17.94
2021,12,15,12,7.6,31.05,18.31
2021,12,15,13,6.5,31.26,18.49
2021,12,15,14,3.85,31.19,18.55
2021,12,15,15,1.58,30.86,18.8
2021,12,15,16,0.25,30.39,19.04
2021,12,15,17,0.02,28.96,19.29
2021,12,15,18,0,28.04,18.62
2021,12,15,19,0,27.23,18.62
2021,12,15,20,0,26.65,18.37
2021,12,15,21,0,26.06,18.25
2021,12,15,22,0,25.62,18.13
2021,12,15,23,0,25.28,18.01
2021,12,16,0,0,25.03,17.82
2021,12,16,1,0,24.73,17.7
2021,12,16,2,0,24.25,17.52
2021,12,16,3,0,23.9,17.4
2021,12,16,4,0,23.65,17.21
2021,12,16,5,0,23.62,17.09
2021,12,16,6,0.02,23.89,17.46
2021,12,16,7,0.65,26.54,18.07
2021,12,16,8,2.38,28.65,17.46
2021,12,16,9,4.73,29.66,17.7
2021,12,16,10,5.23,30.49,18.07
2021,12,16,11,5.8,31.06,18.43
2021,12,16,12,6.67,31.47,18.74
2021,12,16,13,5.77,31.65,18.86
2021,12,16,14,3.52,31.57,18.92
2021,12,16,15,1.77,31.2,19.04
2021,12,16,16,0.3,30.74,19.04
2021,12,16,17,0.02,29.05,20.08
2021,12,16,18,0,27.61,20.02
2021,12,16,19,0,26.72,19.9
2021,12,16,20,0,26.09,19.78
2021,12,16,21,0,25.63,19.59
2021,12,16,22,0,25.33,19.35
2021,12,16,23,0,25.19,19.04
2021,12,17,0,0,25.12,18.74
2021,12,17,1,0,24.98,18.62
2021,12,17,2,0,24.55,18.49
2021,12,17,3,0,24.14,18.25
2021,12,17,4,0,23.83,18.01
2021,12,17,5,0,23.61,17.76
2021,12,17,6,0.05,23.96,18.01
2021,12,17,7,0.73,25.58,18.37
2021,12,17,8,2.62,27.3,18.62
2021,12,17,9,5.33,29.02,18.86
2021,12,17,10,7.62,30.07,19.17
2021,12,17,11,7.62,30.78,19.29
2021,12,17,12,6.88,31.25,19.29
2021,12,17,13,5.9,31.35,19.1
2021,12,17,14,3.98,31.19,18.8
2021,12,17,15,1.65,30.74,18.68
2021,12,17,16,0.3,30.12,18.62
2021,12,17,17,0,28.57,18.98
2021,12,17,18,0,27.16,18.62
2021,12,17,19,0,26.12,18.62
2021,12,17,20,0,25.49,18.37
2021,12,17,21,0,25.22,18.13
2021,12,17,22,0,25.19,17.76
2021,12,17,23,0,24.73,17.58
2021,12,18,0,0,23.87,17.27
2021,12,18,1,0,23.2,16.91
2021,12,18,2,0,22.51,16.54
2021,12,18,3,0,21.86,16.05
2021,12,18,4,0,21.39,15.62
2021,12,18,5,0,21.15,15.32
2021,12,18,6,0.05,21.58,15.38
2021,12,18,7,0.65,23.05,15.75
2021,12,18,8,2.45,25.24,15.99
2021,12,18,9,5.17,26.8,16.3
2021,12,18,10,7.3,27.63,16.48
2021,12,18,11,8.05,28.06,16.66
2021,12,18,12,7.9,28.29,16.72
2021,12,18,13,6.33,28.4,16.78
2021,12,18,14,3.83,28.3,16.78
2021,12,18,15,1.62,27.9,17.03
2021,12,18,16,0.3,27.01,17.4
2021,12,18,17,0,25.34,17.64
2021,12,18,18,0,24.38,16.91
2021,12,18,19,0,23.79,16.3
2021,12,18,20,0,23.16,15.62
2021,12,18,21,0,22.48,15.01
2021,12,18,22,0,21.9,14.47
2021,12,18,23,0,21.46,13.98
2021,12,19,0,0,21.06,13.73
2021,12,19,1,0,20.69,13.61
2021,12,19,2,0,20.44,13.61
2021,12,19,3,0,20.26,13.61
2021,12,19,4,0,20.15,13.61
2021,12,19,5,0,20.04,13.55
2021,12,19,6,0.02,20.43,13.61
2021,12,19,7,0.45,21.89,13.98
2021,12,19,8,1.83,23.82,14.53
2021,12,19,9,4.27,25.58,15.08
2021,12,19,10,6.48,26.94,15.69
2021,12,19,11,7.1,28,16.3
2021,12,19,12,6.4,28.76,16.78
2021,12,19,13,5.67,29.12,17.03
2021,12,19,14,3.75,29.07,17.15
2021,12,19,15,1.52,28.54,17.4
2021,12,19,16,0.27,27.55,17.7
2021,12,19,17,0,25.78,18.07
2021,12,19,18,0,24.69,17.33
2021,12,19,19,0,23.81,16.66
2021,12,19,20,0,22.94,16.11
2021,12,19,21,0,22.27,15.81
2021,12,19,22,0,21.8,15.56
2021,12,19,23,0,21.26,15.26
2021,12,20,0,0,20.9,15.01
2021,12,20,1,0,20.58,14.77
2021,12,20,2,0,20.26,14.59
2021,12,20,3,0,20.01,14.4
2021,12,20,4,0,19.83,14.28
2021,12,20,5,0,19.7,14.22
2021,12,20,6,0.02,20.37,14.47
2021,12,20,7,0.65,22.39,15.2
2021,12,20,8,2.42,24.87,16.05
2021,12,20,9,5.1,26.6,16.48
2021,12,20,10,7.58,27.83,16.72
2021,12,20,11,7.88,28.71,16.85
2021,12,20,12,7.88,29.18,16.91
2021,12,20,13,6.33,29.37,16.85
2021,12,20,14,3.8,29.28,16.66
2021,12,20,15,1.67,28.87,16.6
2021,12,20,16,0.33,28.09,17.03
2021,12,20,17,0.02,26.26,17.4
2021,12,20,18,0,25.14,17.09
2021,12,20,19,0,24.55,16.85
2021,12,20,20,0,24.03,16.72
2021,12,20,21,0,23.56,16.54
2021,12,20,22,0,23.31,16.54
2021,12,20,23,0,23.16,16.48
2021,12,21,0,0,22.98,16.36
2021,12,21,1,0,22.84,16.17
2021,12,21,2,0,22.74,16.05
2021,12,21,3,0,22.55,15.93
2021,12,21,4,0,22.24,15.87
2021,12,21,5,0,21.96,15.81
2021,12,21,6,0.02,22.26,16.17
2021,12,21,7,0.62,23.68,16.6
2021,12,21,8,2.38,25.24,16.78
2021,12,21,9,4.83,26.73,17.09
2021,12,21,10,7.5,28.02,17.46
2021,12,21,11,7.95,28.94,17.88
2021,12,21,12,8.1,29.48,18.19
2021,12,21,13,6.77,29.64,18.25
2021,12,21,14,4.25,29.51,18.19
2021,12,21,15,1.7,29.05,18.25
2021,12,21,16,0.35,28.1,18.74
2021,12,21,17,0.02,26.37,18.98
2021,12,21,18,0,25.34,18.62
2021,12,21,19,0,24.81,18.31
2021,12,21,20,0,24.39,18.13
2021,12,21,21,0,24.03,17.94
2021,12,21,22,0,23.65,17.76
2021,12,21,23,0,23.32,17.52
2021,12,22,0,0,23.08,17.4
2021,12,22,1,0,22.87,17.21
2021,12,22,2,0,22.71,17.03
2021,12,22,3,0,22.67,16.85
2021,12,22,4,0,22.62,16.72
2021,12,22,5,0,22.45,16.54
2021,12,22,6,0.02,22.9,16.72
2021,12,22,7,0.55,24.58,17.09
2021,12,22,8,2.1,26.5,17.46
2021,12,22,9,4.58,27.96,17.88
2021,12,22,10,6.3,28.79,18.19
2021,12,22,11,7.45,29.28,18.31
2021,12,22,12,7.2,29.62,18.37
2021,12,22,13,6.4,29.67,18.19
2021,12,22,14,3.83,29.58,18.07
2021,12,22,15,1.55,29.04,18.07
2021,12,22,16,0.3,28.08,18.62
2021,12,22,17,0.02,26.61,19.04
2021,12,22,18,0,25.65,18.86
2021,12,22,19,0,25.08,18.55
2021,12,22,20,0,24.62,18.31
2021,12,22,21,0,24.23,18.01
2021,12,22,22,0,23.82,17.76
2021,12,22,23,0,23.4,17.4
2021,12,23,0,0,23.01,17.03
2021,12,23,1,0,22.71,16.72
2021,12,23,2,0,22.48,16.36
2021,12,23,3,0,22.31,16.05
2021,12,23,4,0,22.15,15.93
2021,12,23,5,0,22.05,15.81
2021,12,23,6,0.02,22.31,15.93
2021,12,23,7,0.6,23.35,16.3
2021,12,23,8,2.33,24.77,16.54
2021,12,23,9,5.08,26.64,16.72
2021,12,23,10,7.58,27.94,16.97
2021,12,23,11,7.35,28.51,17.27
2021,12,23,12,7.12,28.46,17.46
2021,12,23,13,6.15,28.22,17.52
2021,12,23,14,3.98,27.87,17.64
2021,12,23,15,1.62,27.33,17.82
2021,12,23,16,0.33,26.58,18.13
2021,12,23,17,0.02,25.12,18.19
2021,12,23,18,0,24.26,17.76
2021,12,23,19,0,23.87,17.46
2021,12,23,20,0,23.49,17.27
2021,12,23,21,0,23.13,17.03
2021,12,23,22,0,22.81,16.85
2021,12,23,23,0,22.59,16.72
2021,12,24,0,0,22.42,16.6
2021,12,24,1,0,22.32,16.42
2021,12,24,2,0,22.26,16.36
2021,12,24,3,0,22.23,16.3
2021,12,24,4,0,22.25,16.17
2021,12,24,5,0,22.25,16.11
2021,12,24,6,0.02,22.51,16.3
2021,12,24,7,0.6,23.75,16.78
2021,12,24,8,2.27,25.17,16.97
2021,12,24,9,5.23,26.73,17.15
2021,12,24,10,7.75,27.97,17.27
2021,12,24,11,8.12,28.83,17.33
2021,12,24,12,8.67,29.34,17.27
2021,12,24,13,6.52,29.52,17.15
2021,12,24,14,3.67,29.45,17.09
2021,12,24,15,1.7,29.1,17.15
2021,12,24,16,0.33,28.48,17.64
2021,12,24,17,0.02,26.67,18.25
2021,12,24,18,0,25.47,18.01
2021,12,24,19,0,24.89,17.82
2021,12,24,20,0,24.43,17.7
2021,12,24,21,0,24.06,17.58
2021,12,24,22,0,23.76,17.46
2021,12,24,23,0,23.66,17.21
2021,12,25,0,0,23.65,17.03
2021,12,25,1,0,23.52,16.85
2021,12,25,2,0,23.05,16.72
2021,12,25,3,0,22.69,16.54
2021,12,25,4,0,22.47,16.42
2021,12,25,5,0,22.34,16.24
2021,12,25,6,0.02,22.65,16.42
2021,12,25,7,0.6,24.44,16.72
2021,12,25,8,2.4,26.47,16.36
2021,12,25,9,5.15,27.98,16.54
2021,12,25,10,7.58,29.12,16.85
2021,12,25,11,8.73,29.94,17.09
2021,12,25,12,8.45,30.43,17.27
2021,12,25,13,6.62,30.62,17.27
2021,12,25,14,4.42,30.53,17.15
2021,12,25,15,1.9,30.14,17.09
2021,12,25,16,0.38,29.72,17.21
2021,12,25,17,0.02,28.2,17.7
2021,12,25,18,0,27.18,17.4
2021,12,25,19,0,26.29,17.52
2021,12,25,20,0,25.55,17.58
2021,12,25,21,0,25.08,17.64
2021,12,25,22,0,24.64,17.58
2021,12,25,23,0,24.3,17.27
2021,12,26,0,0,23.9,16.97
2021,12,26,1,0,23.59,16.72
2021,12,26,2,0,23.41,16.54
2021,12,26,3,0,23.05,16.42
2021,12,26,4,0,22.73,16.3
2021,12,26,5,0,22.19,16.05
2021,12,26,6,0.02,22.33,16.3
2021,12,26,7,0.58,24.38,16.78
2021,12,26,8,2.33,26.47,16.91
2021,12,26,9,4.92,28.12,16.97
2021,12,26,10,7.4,29.27,17.09
2021,12,26,11,7.85,30.11,17.27
2021,12,26,12,8.35,30.61,17.4
2021,12,26,13,6.65,30.79,17.4
2021,12,26,14,4.2,30.68,17.33
2021,12,26,15,1.58,30.31,17.27
2021,12,26,16,0.38,29.83,17.58
2021,12,26,17,0.02,28.32,18.07
2021,12,26,18,0,27.44,17.7
2021,12,26,19,0,26.87,17.64
2021,12,26,20,0,26.14,17.88
2021,12,26,21,0,25.6,17.94
2021,12,26,22,0,25.22,17.76
2021,12,26,23,0,24.9,17.52
2021,12,27,0,0,24.57,17.4
2021,12,27,1,0,24.16,17.33
2021,12,27,2,0,23.72,17.27
2021,12,27,3,0,23.3,17.03
2021,12,27,4,0,22.98,16.78
2021,12,27,5,0,22.76,16.48
2021,12,27,6,0.02,23.08,16.66
2021,12,27,7,0.5,24.7,16.97
2021,12,27,8,1.98,26.61,16.36
2021,12,27,9,4.5,28.22,15.93
2021,12,27,10,6.98,29.35,16.05
2021,12,27,11,7.88,30.1,16.3
2021,12,27,12,7.62,30.56,16.48
2021,12,27,13,5.77,30.73,16.54
2021,12,27,14,3.92,30.58,16.6
2021,12,27,15,1.73,30.13,16.72
2021,12,27,16,0.35,29.65,16.91
2021,12,27,17,0.02,27.83,17.88
2021,12,27,18,0,26.56,18.01
2021,12,27,19,0,25.78,18.19
2021,12,27,20,0,25.29,18.13
2021,12,27,21,0,24.95,17.94
2021,12,27,22,0,24.43,17.88
2021,12,27,23,0,24.01,17.64
2021,12,28,0,0,23.64,17.33
2021,12,28,1,0,23.28,16.97
2021,12,28,2,0,22.94,16.66
2021,12,28,3,0,22.55,16.36
2021,12,28,4,0,22.19,16.05
2021,12,28,5,0,21.98,15.87
2021,12,28,6,0.02,22.34,16.11
2021,12,28,7,0.48,23.68,16.48
2021,12,28,8,2,25.56,16.78
2021,12,28,9,4.67,27.55,17.03
2021,12,28,10,6.92,28.87,17.58
2021,12,28,11,8.3,29.55,18.01
2021,12,28,12,6.23,30.01,18.07
2021,12,28,13,5.95,30.19,17.82
2021,12,28,14,3.85,29.99,17.7
2021,12,28,15,1.7,29.51,17.82
2021,12,28,16,0.35,28.52,18.13
2021,12,28,17,0.02,26.46,18.37
2021,12,28,18,0,25.34,17.82
2021,12,28,19,0,24.83,17.52
2021,12,28,20,0,24.37,17.21
2021,12,28,21,0,23.94,16.91
2021,12,28,22,0,23.53,16.72
2021,12,28,23,0,23.14,16.54
2021,12,29,0,0,22.77,16.36
2021,12,29,1,0,22.43,16.11
2021,12,29,2,0,22.13,15.99
2021,12,29,3,0,21.87,15.81
2021,12,29,4,0,21.66,15.69
2021,12,29,5,0,21.54,15.56
2021,12,29,6,0.02,22.05,15.81
2021,12,29,7,0.52,23.84,16.17
2021,12,29,8,2.15,26.12,16.48
2021,12,29,9,4.85,27.87,16.78
2021,12,29,10,7.12,29.11,17.21
2021,12,29,11,6.62,29.94,17.58
2021,12,29,12,6.8,30.37,17.7
2021,12,29,13,6.1,30.44,17.82
2021,12,29,14,3.9,30.33,17.88
2021,12,29,15,1.67,29.92,18.25
2021,12,29,16,0.35,29.12,18.55
2021,12,29,17,0.02,27.07,18.98
2021,12,29,18,0,26.03,18.31
2021,12,29,19,0,25.48,18.07
2021,12,29,20,0,24.89,17.76
2021,12,29,21,0,24.31,17.33
2021,12,29,22,0,23.73,16.91
2021,12,29,23,0,23.15,16.42
2021,12,30,0,0,22.57,15.99
2021,12,30,1,0,22.2,15.69
2021,12,30,2,0,21.84,15.44
2021,12,30,3,0,21.54,15.14
2021,12,30,4,0,21.28,14.95
2021,12,30,5,0,21.03,14.71
2021,12,30,6,0.02,21.47,14.89
2021,12,30,7,0.55,23.35,15.14
2021,12,30,8,2.33,25.71,15.56
2021,12,30,9,4.88,27.53,16.11
2021,12,30,10,7.83,28.84,16.54
2021,12,30,11,8.33,29.78,16.85
2021,12,30,12,8.33,30.47,17.09
2021,12,30,13,7.2,30.89,17.33
2021,12,30,14,4.48,30.98,17.58
2021,12,30,15,1.92,30.65,17.94
2021,12,30,16,0.4,29.71,18.13
2021,12,30,17,0.02,27.12,18.68
2021,12,30,18,0,25.83,18.01
2021,12,30,19,0,25.19,17.46
2021,12,30,20,0,24.51,16.72
2021,12,30,21,0,23.78,16.05
2021,12,30,22,0,23.08,15.56
2021,12,30,23,0,22.46,15.14
2021,12,31,0,0,21.98,14.83
2021,12,31,1,0,21.58,14.53
2021,12,31,2,0,21.23,14.28
2021,12,31,3,0,20.98,14.16
2021,12,31,4,0,20.87,14.04
2021,12,31,5,0,20.84,13.92
2021,12,31,6,0.02,21.39,14.22
2021,12,31,7,0.58,23.69,14.22
2021,12,31,8,2.4,25.56,14.34
2021,12,31,9,5.15,26.98,14.89
